,Pais,EV_2020,EV_2025,EV_2025_Mejora,ID_INCOME
0,USA,77.28,78.1096,78.1096,0
1,CAN,81.75,82.7509,82.7509,0
2,MEX,75.13,75.8273,79.6776,2
3,CRI,80.46,80.9291,80.8916,2
4,PAN,78.68,79.5589,79.6138,0
5,BRA,76.08,77.4017,77.3889,2
6,ARG,76.81,77.4567,77.5083,2
7,CHL,80.33,80.561,80.4851,0
8,URY,78.06,79.0133,79.0133,0
9,BOL,71.77,74.496,74.496,1
10,PER,76.95,77.8755,77.5974,2
11,EGY,72.15,72.8986,73.1055,1
12,LBY,73.08,74.3096,74.3161,2
13,ZAF,64.38,64.8139,64.8068,2
14,NGA,55.02,56.3919,56.2265,1
15,MAR,76.9,79.3351,82.8845,1
16,AUS,83.2,84.5789,84.5789,0
17,CHN,77.1,77.8696,77.3346,2
18,IND,69.89,71.3009,70.1256,1
19,THA,77.34,77.911,78.0879,1
20,JPN,84.62,85.6949,85.6672,0
21,KOR,83.43,85.2335,85.2315,0
22,ISR,82.7,84.8231,84.8231,0
23,SAU,75.28,76.0178,75.9671,0
24,MYS,76.31,76.7379,76.6723,2
25,IDN,71.91,72.6887,72.39,1
26,RUS,71.34,70.1588,77.5335,2
27,TUR,77.93,79.0249,78.9418,2
28,ESP,82.33,84.7466,84.7211,0
29,BGR,73.61,77.1346,77.1346,2
30,FRA,82.18,84.4694,84.4694,0
31,ITA,82.34,82.6764,82.6764,0
32,DEU,80.94,81.7161,81.7161,0
33,GBR,80.9,82.1737,82.063,0
34,NOR,83.21,84.657,84.657,0
35,SWE,82.41,83.8064,83.8064,0
36,GRC,81.09,82.3778,82.3542,0
