,USA,CAN,MEX,CRI,PAN,BRA,ARG,CHL,URY,BOL,PER,EGY,LBY,ZAF,NGA,MAR,AUS,CHN,IND,THA,JPN,KOR,ISR,SAU,MYS,IDN,RUS,TUR,ESP,BGR,FRA,ITA,DEU,GBR,NOR,SWE,GRC
2021,78.2147,81.9391,75.208,80.651,78.8982,76.3987,76.959,80.6333,78.2287,72.0291,77.1581,72.31,73.3219,64.5499,55.3308,77.122,83.3602,77.3255,70.1908,77.6906,84.7802,83.8433,83.2633,75.4374,76.4848,72.1001,70.2657,78.1651,82.8728,73.6642,82.4673,83.484,81.7554,81.4525,83.4105,83.3064,81.3065
2022,78.3777,82.0343,75.285,80.837,79.0073,76.7118,77.105,80.7854,78.3999,72.2872,77.3691,72.47,73.4418,64.7079,55.6322,77.343,83.5181,77.508,70.5075,78.0349,84.9481,84.1341,83.4995,75.6016,76.6117,72.2921,69.5473,78.4022,82.6559,73.721,82.841,83.4624,81.5076,81.6594,83.6198,83.5389,81.3277
2023,78.4282,82.1295,75.362,81.023,79.1163,77.0233,77.251,80.9376,78.5696,72.5452,77.5802,72.63,73.5618,64.848,55.9283,77.564,83.6735,77.6866,70.8231,78.3763,85.1147,84.4978,83.7357,75.7678,76.7386,72.4841,69.1382,78.6392,82.439,73.7778,83.116,83.4408,82.218,81.8663,83.8291,83.752,81.349
2024,78.5844,82.2247,75.439,81.209,79.2254,77.333,77.397,81.0897,78.7377,72.8033,77.7912,72.79,73.6817,64.9646,56.2244,77.785,83.8266,77.8625,71.1376,78.7156,85.2798,84.8192,83.9719,75.9305,76.8655,72.6762,68.7867,78.8763,82.2221,73.8347,83.4746,83.4192,81.9703,82.0732,84.0385,83.955,81.3702
2025,78.5167,82.3199,75.516,81.395,79.3345,77.6409,77.543,81.2419,78.9041,73.0614,78.0022,72.95,73.8017,65.0527,56.5236,78.006,83.9774,78.0368,71.4511,79.0524,85.4435,85.1652,84.2082,76.0839,76.9924,72.8682,68.5985,79.1133,82.0052,73.8915,83.7357,83.3976,82.6807,82.2801,84.2478,84.1429,81.3914
2026,78.6397,82.415,75.593,81.581,79.4436,77.9469,77.689,81.394,79.0687,73.3194,78.2133,73.11,73.9216,65.1091,56.8277,78.227,84.126,78.2105,71.7636,79.3874,85.6059,85.4969,84.4444,76.2229,77.1193,73.0602,68.4277,79.3504,81.7883,73.9483,84.0816,83.376,82.4329,82.4869,84.4571,84.2629,81.4126
2027,78.7398,82.5102,75.67,81.767,79.5527,78.251,77.835,81.5462,79.2315,73.5775,78.4243,73.27,74.0416,65.1325,57.1366,78.448,84.2723,78.3844,72.075,79.7201,85.7669,85.8369,84.6806,76.3427,77.2462,73.2523,68.3438,79.5874,81.5714,74.0052,84.3311,83.3544,83.1434,82.6938,84.6664,84.4623,81.4338
2028,78.7512,82.6054,75.747,81.953,79.6618,78.553,77.981,81.6983,79.3924,73.8355,78.6353,73.43,74.1615,65.1236,57.4494,78.669,84.4164,78.5591,72.3853,80.0513,85.9266,86.1721,84.9168,76.4398,77.3731,73.4443,68.2616,79.8245,81.3545,74.062,84.6664,83.3328,82.8956,82.9007,84.8757,84.6363,81.4551
2029,78.7569,82.7006,75.824,82.139,79.7709,78.8529,78.127,81.8504,79.5513,74.0936,78.8464,73.59,74.2815,65.0846,57.7646,78.89,84.5583,78.7351,72.6946,80.3805,86.0849,86.5101,85.153,76.5112,77.5,73.6363,68.2259,80.0615,81.1376,74.1188,84.9063,83.3112,83.606,83.1076,85.085,84.7841,81.4763
