Year,Developed,Undeveloped
1960,66.05055555555556,51.48210526315789
1961,67.07722222222222,52.06263157894737
1962,67.20555555555556,52.55842105263158
1963,66.74166666666667,53.14368421052632
1964,66.95777777777778,53.72947368421052
1965,67.94,54.28421052631578
1966,68.27277777777778,54.823684210526324
1967,68.49222222222221,55.31999999999999
1968,68.60222222222222,55.88999999999999
1969,68.79888888888888,56.36684210526316
1970,69.24722222222223,56.93263157894737
1971,69.56444444444443,57.428947368421056
1972,69.85722222222222,57.92421052631579
1973,70.1522222222222,58.44368421052631
1974,70.53166666666668,58.933684210526316
1975,70.88444444444444,59.38631578947369
1976,71.25500000000001,59.88157894736843
1977,71.64888888888889,60.33052631578947
1978,71.93277777777777,60.82736842105263
1979,72.27166666666666,61.28842105263157
1980,72.56333333333333,61.734210526315806
1981,72.93222222222222,62.2178947368421
1982,73.27444444444444,62.666842105263164
1983,73.5122222222222,63.09526315789475
1984,73.86333333333332,63.49421052631578
1985,74.06,63.91631578947368
1986,74.33722222222222,64.40789473684212
1987,74.61777777777777,64.76789473684211
1988,74.76055555555556,65.12157894736842
1989,75.19277777777778,65.44368421052631
1990,75.40833333333333,65.73421052631579
1991,75.63944444444445,65.99894736842106
1992,75.89166666666665,66.18315789473684
1993,76.08666666666667,66.3278947368421
1994,76.39444444444445,66.53473684210527
1995,76.50944444444445,66.76578947368421
1996,76.81777777777779,67.03473684210526
1997,77.09611111111111,67.25736842105263
1998,77.26611111111112,67.51263157894736
1999,77.47722222222222,67.67684210526318
2000,77.73944444444446,67.86947368421053
2001,78.03166666666668,68.08736842105263
2002,78.19,68.30894736842104
2003,78.36888888888888,68.5594736842105
2004,78.73444444444443,68.86684210526316
2005,78.90555555555557,69.14473684210526
2006,79.2088888888889,69.49947368421053
2007,79.39611111111111,69.84631578947369
2008,79.60166666666666,70.18157894736844
2009,79.86111111111111,70.54736842105264
2010,80.04722222222225,70.85894736842104
2011,80.32,71.23105263157896
2012,80.41888888888889,71.5442105263158
2013,80.66888888888889,71.87526315789472
2014,80.91222222222221,72.1263157894737
2015,80.84055555555557,72.4042105263158
2016,81.05333333333334,72.67105263157895
2017,81.11944444444445,72.92947368421055
2018,81.27444444444444,73.14947368421055
2019,81.45666666666666,73.36894736842105
2020,81.15166666666667,73.37684210526317
2021,81.16666666666667,73.47894736842105
