,ID_PAIS,CODIGO_PAIS,NOMBRE
0,0,ARG,Argentina
1,1,AUS,Australia
2,2,BGR,Bulgaria
3,3,BOL,Bolivia
4,4,BRA,Brazil
5,5,CAN,Canada
6,6,CHL,Chile
7,7,CHN,China
8,8,CRI,Costa Rica
9,9,DEU,Germany
10,10,EGY,"Egypt, Arab Rep."
11,11,ESP,Spain
12,12,FRA,France
13,13,GBR,United Kingdom
14,14,GRC,Greece
15,15,IDN,Indonesia
16,16,IND,India
17,17,ISR,Israel
18,18,ITA,Italy
19,19,JPN,Japan
20,20,KOR,"Korea, Rep."
21,21,LBY,Libya
22,22,MAR,Morocco
23,23,MEX,Mexico
24,24,MYS,Malaysia
25,25,NGA,Nigeria
26,26,NOR,Norway
27,27,PAN,Panama
28,28,PER,Peru
29,29,RUS,Russian Federation
30,30,SAU,Saudi Arabia
31,31,SWE,Sweden
32,32,THA,Thailand
33,33,TUR,Turkiye
34,34,URY,Uruguay
35,35,USA,United States
36,36,ZAF,South Africa
